id,area,dynamic,sleak,gleak,gt_pf,gt_pw,gt_area,gt_t,arch0,arch1,arch2,arch3,arch4,arch5,arch6,arch7,arch8,arch9,arch10,arch11,arch12,arch13,arch14,arch15,arch16,arch17,arch18,arch19,arch20,arch21,arch22,arch23,arch24,arch25,arch26,arch27,arch28
36,0.409307,0.22407,0.0205665,0.00034743,0.889966,0.026484,1485295.524,11005.36814,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
37,0.356639,0.223943,0.0196658,0.000340757,0.91251,0.026484,1475527.54,11447.24979,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
38,0.356639,0.223943,0.0196658,0.000340757,0.93558,0.026484,1501961.554,10327.50064,0,0,0,0,2,0,0,2,0,0,2,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
39,0.356639,0.223943,0.0196658,0.000340757,0.941602,0.026484,1466045.537,10142.41113,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
40,0.314529,0.223861,0.0189082,0.00033536,0.960234,0.026484,1456281.503,11700.92876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
41,0.314529,0.223861,0.0189082,0.00033536,0.899629,0.026484,1482715.505,11743.73151,0,0,0,0,2,0,0,2,0,0,2,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
42,0.314529,0.223861,0.0189082,0.00033536,0.939299,0.026484,1517357.511,11377.24352,0,0,0,0,1,0,0,1,0,0,1,2,2,2,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
43,0.409193,0.22407,0.0205498,0.000347241,0.906325,0.026484,1507593.535,10434.31256,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
44,0.409193,0.22407,0.0205498,0.000347241,0.938956,0.023183,1534021.514,10934.4849,0,0,0,0,2,0,0,2,0,0,2,2,2,2,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
45,0.409193,0.22407,0.0205498,0.000347241,0.914833,0.026484,1481391.507,11429.11198,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
46,0.356626,0.223943,0.019665,0.000340726,0.915724,0.026484,1471623.526,11726.99312,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
47,0.356626,0.223943,0.019665,0.000340726,0.963134,0.026484,1498057.534,11076.14568,0,0,0,0,2,0,0,2,0,0,2,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
48,0.356626,0.223943,0.019665,0.000340726,0.921849,0.026484,1462141.503,10865.23154,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
49,0.314516,0.223861,0.0189074,0.000335329,0.945055,0.026484,1452377.558,10514.9028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
50,0.314516,0.223861,0.0189074,0.000335329,0.943906,0.026484,1478811.518,10321.07743,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
51,0.314516,0.223861,0.0189074,0.000335329,0.936643,0.026484,1513453.54,11928.38238,0,0,0,0,1,0,0,1,0,0,1,2,2,2,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
52,0.40918,0.22407,0.0205489,0.00034721,0.898082,0.026484,1503689.541,11700.95472,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
53,0.40918,0.22407,0.0205489,0.00034721,0.953131,0.026484,1530117.518,11091.58018,0,0,0,0,2,0,0,2,0,0,2,2,2,2,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0
54,0.40918,0.22407,0.0205489,0.00034721,0.933252,0.026484,1489199.507,11453.77478,0,0,0,0,1,0,0,1,0,0,1,1,1,1,2,0,0,1,1,1,1,0,1,0,1,0,0,0,0
55,0.356642,0.223943,0.0196664,0.000340764,0.902627,0.026484,1479431.506,11542.85538,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,1,1,1,0,1,0,1,0,0,0,0
56,0.356642,0.223943,0.0196664,0.000340764,0.939599,0.026484,1505865.521,11966.06343,0,0,0,0,2,0,0,2,0,0,2,1,1,1,2,0,0,1,1,1,1,0,1,0,1,0,0,0,0
57,0.356642,0.223943,0.0196664,0.000340764,0.935299,0.026484,1469949.527,10387.25746,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,1,1,1,0,1,0,1,0,0,0,0
58,0.314532,0.223861,0.0189088,0.000335367,0.946381,0.026484,1460185.496,11458.58258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,0,1,0,1,0,0,0,0
59,0.314532,0.223861,0.0189088,0.000335367,0.935727,0.026484,1486619.527,10667.10982,0,0,0,0,2,0,0,2,0,0,2,0,0,0,2,0,0,1,1,1,1,0,1,0,1,0,0,0,0
60,0.314532,0.223861,0.0189088,0.000335367,0.948665,0.026484,1521261.496,11873.54779,0,0,0,0,1,0,0,1,0,0,1,2,2,2,2,0,0,1,1,1,1,0,1,0,1,0,0,0,0
